source,dest,hopcount
1,9,8
1,8,7
1,7,6
1,6,5
1,5,4
1,4,3
1,3,2
1,2,1
8,9,76
9,5,56
9,3,40
9,2,32
9,8,80
9,4,48
9,6,64
9,7,72
9,1,24
1,9,16
1,5,12
1,3,10
1,2,9
1,8,15
1,4,11
1,6,13
1,7,14
2,1,21
2,9,77
2,5,45
2,3,29
3,2,30
2,8,69
2,4,37
2,6,53
2,7,61
3,1,22
3,9,78
3,5,46
4,3,35
4,2,27
3,8,70
3,4,38
3,6,54
3,7,62
4,1,19
4,9,75
4,5,43
5,3,39
5,2,31
4,8,67
5,4,47
4,6,51
4,7,59
5,1,23
5,9,79
6,5,50
6,3,34
6,2,26
5,8,71
6,4,42
5,6,55
5,7,63
6,1,18
6,9,74
7,5,49
7,3,33
7,2,25
6,8,66
7,4,41
7,6,57
6,7,58
7,1,17
7,9,73
8,5,52
8,3,36
8,2,28
7,8,65
8,4,44
8,6,60
8,7,68
8,1,20
9,1,88
2,1,81
4,1,82
8,1,83
7,1,84
6,1,85
3,1,86
5,1,87
1,9,96
1,8,95
1,7,94
1,6,93
1,5,92
1,4,91
1,3,90
1,2,89
