source,dest,hopcount
1,3,2
1,2,1
1,7,6
1,6,5
1,5,4
1,4,3
1,9,8
1,8,7
1,3,10
1,2,9
3,1,18
2,1,17
3,7,28
3,6,26
7,3,44
2,5,23
2,4,21
5,2,39
6,3,41
4,2,38
4,9,62
4,8,58
9,4,72
8,4,71
2,3,19
3,2,20
6,7,53
7,6,56
4,5,46
5,4,47
7,1,36
1,7,14
1,6,13
1,5,12
1,4,11
4,1,34
5,1,35
6,1,33
8,9,79
9,8,80
9,2,68
2,9,31
2,8,29
8,2,67
3,5,24
3,4,22
5,3,43
2,7,27
2,6,25
7,2,40
4,3,42
6,2,37
5,9,63
5,8,59
9,5,74
9,1,66
1,9,16
1,8,15
8,5,73
8,1,65
2,1,81
7,5,52
7,4,48
5,7,55
5,6,51
6,5,49
6,4,45
4,7,54
4,6,50
3,9,32
3,8,30
9,3,70
8,3,69
3,1,84
5,1,83
4,1,82
7,9,64
7,8,60
9,7,78
9,6,76
6,9,61
6,8,57
8,7,77
8,6,75
6,1,87
7,1,85
9,1,88
8,1,86
1,3,90
1,2,89
1,7,94
1,6,93
1,5,92
1,4,91
1,9,96
1,8,95
