source,dest,hopcount
1,5,4
1,3,2
1,2,1
1,7,6
1,6,5
1,4,3
1,8,7
1,5,11
1,3,9
1,2,8
5,1,17
2,1,15
3,1,16
5,7,32
5,6,29
7,5,50
3,4,22
7,3,44
6,2,40
3,7,31
2,6,27
6,5,49
2,4,21
4,3,42
4,2,39
7,8,56
8,7,63
8,6,62
8,4,60
4,8,54
6,8,55
5,3,23
5,2,20
3,5,25
2,3,18
3,2,19
2,5,24
6,7,52
7,6,53
7,4,47
7,1,38
1,7,13
1,6,12
1,4,10
4,1,36
4,7,51
4,6,48
6,4,46
6,1,37
5,8,35
8,5,61
8,3,59
8,2,58
2,8,33
3,8,34
5,4,26
4,5,45
3,6,28
6,3,43
2,7,30
7,2,41
1,8,14
8,1,57
5,1,68
2,1,64
3,1,65
4,1,69
6,1,66
7,1,67
8,1,70
1,5,74
1,3,72
1,2,71
1,7,76
1,6,75
1,4,73
1,8,77
