source,dest,hopcount
1,2,1
1,3,2
1,4,3
1,2,9
2,1,17
1,5,4
2,3,18
3,2,26
1,6,5
3,4,27
4,3,35
1,7,6
4,5,36
5,4,44
1,3,10
3,1,25
1,8,7
5,6,45
6,5,53
2,4,19
4,2,34
1,9,8
6,7,54
7,6,62
3,5,28
5,3,43
7,8,63
8,7,71
4,6,37
6,4,52
1,4,11
4,1,33
8,9,72
9,8,80
5,7,46
7,5,61
2,5,20
5,2,42
6,8,55
8,6,70
3,6,29
6,3,51
7,9,64
9,7,79
4,7,38
7,4,60
1,5,12
5,1,41
5,8,47
8,5,69
2,6,21
6,2,50
6,9,56
9,6,78
3,7,30
7,3,59
4,8,39
8,4,68
1,6,13
6,1,49
5,9,48
9,5,77
2,7,22
7,2,58
3,8,31
8,3,67
4,9,40
9,4,76
1,7,14
7,1,57
2,8,23
8,2,66
3,9,32
9,3,75
1,8,15
8,1,65
2,9,24
9,2,74
1,9,16
9,1,73
2,1,87
3,1,85
4,1,83
5,1,82
6,1,81
7,1,84
8,1,86
9,1,88
1,2,89
1,3,90
1,4,91
1,5,92
1,6,93
1,7,94
1,8,95
1,9,96
