source,dest,hopcount
1,4,3
1,2,1
1,7,6
1,5,4
1,3,2
1,8,7
1,6,5
1,4,11
1,2,9
4,1,18
2,1,17
1,9,8
4,7,28
4,5,24
7,4,44
2,3,19
3,2,37
2,5,23
5,4,42
5,2,36
7,8,53
8,7,70
5,6,45
8,5,66
6,3,61
5,8,51
3,6,46
6,5,65
4,2,20
2,4,21
8,9,72
9,8,80
9,6,78
6,9,71
7,5,47
5,7,48
5,3,39
7,1,35
1,5,12
1,7,14
1,3,10
3,1,34
3,5,43
5,1,33
8,6,68
6,8,69
8,4,64
8,2,60
2,6,25
2,8,29
6,4,63
6,2,59
4,6,26
4,8,30
7,9,56
9,7,79
9,5,77
9,3,75
3,9,55
5,9,54
4,3,22
3,4,40
2,7,27
7,2,38
7,6,50
6,7,67
3,8,52
8,3,62
8,1,58
1,6,13
1,8,15
6,1,57
4,9,32
9,4,76
9,2,74
2,9,31
7,3,41
3,7,49
1,9,16
9,1,73
4,1,85
2,1,84
3,1,87
5,1,81
7,1,86
6,1,83
8,1,82
9,1,88
1,4,91
1,2,89
1,7,94
1,5,92
1,3,90
1,8,95
1,6,93
1,9,96
