source,dest,hopcount
1,7,6
1,4,3
1,3,2
1,2,1
1,9,8
1,8,7
1,6,5
1,5,4
7,4,32
4,7,38
3,2,21
2,3,23
7,1,20
1,4,11
1,7,14
1,2,9
1,3,10
2,1,19
3,1,17
4,1,18
8,9,78
9,8,80
9,6,72
8,5,66
9,7,76
5,4,63
9,3,60
5,2,55
3,9,45
2,8,43
3,6,33
2,5,31
8,7,74
6,4,61
6,3,57
8,2,54
6,9,77
5,8,75
4,6,34
4,5,30
7,9,48
7,8,44
5,6,67
6,5,65
7,2,24
7,3,28
2,7,39
3,4,25
4,2,22
4,3,26
3,7,37
2,4,27
9,5,68
5,9,79
8,6,70
6,8,73
5,7,71
9,4,64
5,3,59
9,2,56
9,1,52
1,5,12
1,9,16
1,6,13
1,8,15
6,7,69
8,4,62
8,3,58
6,2,53
5,1,51
3,5,29
2,9,47
2,6,35
3,8,41
6,1,49
7,5,36
4,9,46
7,6,40
4,8,42
8,1,50
7,1,88
2,1,83
3,1,85
4,1,87
5,1,86
8,1,81
6,1,82
9,1,84
1,7,94
1,4,91
1,3,90
1,2,89
1,9,96
1,8,95
1,6,93
1,5,92
